model,origin,child_asin,colour,size,y_units,pred,lo,hi
matrix_factorisation,2020-11-07,B089DFCGZL,Indigo Navy Blue,Queen,48.0,13.733095868722806,8.348359817058283,22.219486425938843
matrix_factorisation,2020-11-07,B089DFJM8R,Indigo Navy Blue,Oversized King,40.0,17.351486652508566,10.97844905328971,27.115247713535094
matrix_factorisation,2020-11-07,B089DFSS2H,Indigo Navy Blue,Oversized King,18.0,17.351486652508566,10.97844905328971,27.115247713535094
cluster_pool,2020-11-07,B089DDS3NW,Indigo Navy Blue,King,34.0,26.0,12.51684494575903,52.93270418691361
cluster_pool,2020-11-07,B089DFCGZL,Indigo Navy Blue,Queen,48.0,10.0,4.136888300120911,22.555116041194033
cluster_pool,2020-11-07,B089DFJM8R,Indigo Navy Blue,Oversized King,40.0,18.0,8.323500690108489,37.71936217937891
cluster_pool,2020-11-07,B089DFSS2H,Indigo Navy Blue,Oversized King,18.0,18.0,8.323500690108489,37.71936217937891
ensemble,2020-11-07,B089DDS3NW,Indigo Navy Blue,King,34.0,16.947583472962165,4.01612989645978,44.1315895129682
ensemble,2020-11-07,B089DFCGZL,Indigo Navy Blue,Queen,48.0,27.881405541179788,7.083931012591937,57.12234614298941
ensemble,2020-11-07,B089DFJM8R,Indigo Navy Blue,Oversized King,40.0,13.141022488117565,3.0809902922608003,27.462224194939427
ensemble,2020-11-07,B089DFSS2H,Indigo Navy Blue,Oversized King,18.0,13.298957468871233,2.0056727809484673,28.067844895883628
heuristic,2022-03-04,B09P8LYKWJ,Textured - Natural Linen Look Slub,Queen,85.0,29.233226837060702,7.5371582333304525,106.0670098877371
heuristic,2022-03-04,B09P8MJ4TK,Textured - Natural Linen Look Slub,Oversized King,81.0,7.3083067092651754,1.1984721903276978,30.398150351372696
heuristic,2022-03-04,B09P8N2DN6,Textured - Natural Linen Look Slub,King,173.0,22.217252396166135,5.51030247481734,81.7981205039795
naive_family,2022-03-04,B09P8LYKWJ,Textured - Natural Linen Look Slub,Queen,85.0,71.76470588235294,9.015650414025636,527.6428941979425
naive_family,2022-03-04,B09P8MJ4TK,Textured - Natural Linen Look Slub,Oversized King,81.0,43.14634146341463,5.053302841961478,320.95637910177516
