child_asin,program,colour,size,shade_family,pattern_type,launch_date,siblings_live_at_launch,organic_units_first61d,gross_units_first61d,days_observed
B089DH2PHF,400 TC Duvet Cover,Ivory,King,Near White,Solid,2020-08-17,0.0,22.0,22.0,61
B089DH3Z2B,400 TC Duvet Cover,Light Gray,King,Light Grey,Solid,2020-08-17,0.0,57.0,57.0,61
B089DH9S71,Duvet Cover Set,Light Gray,Oversized King,Light Grey,Solid,2020-08-17,0.0,38.0,38.0,61
B089DHVMW6,400 TC Duvet Cover,Light Gray,Oversized King,Light Grey,Solid,2020-08-17,0.0,26.0,26.0,61
B08B1LPVYR,Duvet Cover Set,Gray,Queen,Mid Grey,Solid,2020-08-19,0.0,96.0,96.0,61
B08B1M9H7N,Duvet Cover Set,Gray,King,Mid Grey,Solid,2020-08-19,0.0,65.0,65.0,61
B08B1MHDGK,400 TC Duvet Cover,Gray,King,Mid Grey,Solid,2020-08-19,0.0,47.0,47.0,61
B08B1MQWPM,400 TC Duvet Cover,Gray,Queen,Mid Grey,Solid,2020-08-19,0.0,55.0,55.0,61
B08C7LPXR3,400 TC Duvet Cover,Gray,Oversized King,Mid Grey,Solid,2020-08-19,0.0,24.0,24.0,61
B08C7LZWBM,Duvet Cover Set,Gray,Oversized King,Mid Grey,Solid,2020-08-19,0.0,24.0,24.0,61
B089DD8K98,Duvet Cover Set,Pattern - Pinstripe,King,White,Pattern,2020-08-31,1.0,24.0,24.0,61
B089DFGPCH,Duvet Cover Set,Pattern - Pinstripe,Queen,White,Pattern,2020-08-31,1.0,72.0,72.0,61
B089DHDSWN,Duvet Cover Set,Pattern - Polka Dot,Queen,White,Pattern,2020-08-31,1.0,106.0,106.0,61
B089DJ14PR,Duvet Cover Set,Pattern - Polka Dot,King,White,Pattern,2020-08-31,1.0,21.0,21.0,61
B089DDS3NW,400 TC Duvet Cover,Indigo Navy Blue,King,Dark Blue,Solid,2020-11-07,0.0,32.0,34.0,61
B089DFCGZL,400 TC Duvet Cover,Indigo Navy Blue,Queen,Dark Blue,Solid,2020-11-07,0.0,48.0,48.0,61
B089DFJM8R,400 TC Duvet Cover,Indigo Navy Blue,Oversized King,Dark Blue,Solid,2020-11-07,0.0,37.0,40.0,61
B089DFSS2H,Duvet Cover Set,Indigo Navy Blue,Oversized King,Dark Blue,Solid,2020-11-07,0.0,18.0,18.0,61
B089DH5BKK,400 TC Duvet Cover,Slate Gray,King,Dark Grey,Solid,2021-10-27,0.0,0.0,0.0,61
B09HGM2ZLR,Duvet Cover Set,Textured - White Waffle,Oversized King,White,Textured,2021-11-09,1.0,13.0,14.0,61
B09HH75T9D,Duvet Cover Set,Textured - White Striped Slub,Oversized King,White,Textured,2021-11-09,1.0,19.0,20.0,61
B09HGPY6X7,Duvet Cover Set,Textured - White Geo Matelassé,Oversized King,White,Textured,2021-11-19,3.0,40.0,45.0,61
B09HGQT17X,Duvet Cover Set,Textured - White Linen Look Slub,Oversized King,White,Textured,2021-11-19,3.0,31.0,31.0,61
B09HH2NY2M,Duvet Cover Set,Textured - White Geo Matelassé,King,White,Textured,2021-11-19,3.0,64.0,69.0,61
B09HH32BN6,Duvet Cover Set,Textured - White Linen Look Slub,King,White,Textured,2021-11-19,3.0,32.0,35.0,61
B09HGTMDC5,Duvet Cover Set,Textured - White Geo Matelassé,Queen,White,Textured,2021-11-21,3.0,47.0,65.0,61
B09HH6N43T,Duvet Cover Set,Textured - White Waffle,Queen,White,Textured,2021-11-21,3.0,108.0,120.0,61
B09HGZ4B5Q,Duvet Cover Set,Textured - White Waffle,King,White,Textured,2021-11-22,5.0,68.0,73.0,61
B09HGK8CH4,Duvet Cover Set,Textured - White Linen Look Slub,Queen,White,Textured,2021-11-24,5.0,43.0,46.0,61
B09HGRXHJF,Duvet Cover Set,Textured - White Striped Slub,Queen,White,Textured,2021-11-24,5.0,28.0,29.0,61
B09HGX5FBT,Duvet Cover Set,Textured - White Striped Slub,King,White,Textured,2021-11-24,6.0,44.0,45.0,61
B09P8LYKWJ,Duvet Cover Set,Textured - Natural Linen Look Slub,Queen,Near White,Textured,2022-03-04,1.0,85.0,85.0,61
B09P8MJ4TK,Duvet Cover Set,Textured - Natural Linen Look Slub,Oversized King,Near White,Textured,2022-03-04,1.0,81.0,81.0,61
B09P8N2DN6,Duvet Cover Set,Textured - Natural Linen Look Slub,King,Near White,Textured,2022-03-04,1.0,169.0,173.0,61
